name_1,name_2,is_duplicate
gerdau ameristeel,amster s.a .,0
ia s.a d cv,bobinas calidad s rl cv,0
powersource,sto corp,0
trelleborg santana parnaiba ind comer solucoes,ktn,0
qingdao hymd trade .,indaco sp,0
jsr corporation,pdl endustriyel urunler,0
americas .,dr . jiang suzhan new materials .,0
t.a . corporation pvt . .,al maitha,0
ta chen,equistar chemicals lp edison,0
s,mogul teks san ve tic . sti .,0
pavers england .,pam sp,0
a.l .,mail mcquiston@advpolytech.com,0
ram,shanghai b&g imp.&exp . .,0
industrias madetex sas,trb,0
g.p . pvt .,regupol america,0
klinge corporation,fulong electrical appliance mfg . shenzhen .,0
shanghai foreign trade enterprises pudong .,cixi ocean trade .,0
prapti,dass nordeste calcados e artigos esportivos ltda,0
shenzhen trend industry .,henkel ltda,0
rfe .,bollore logistics mexico,0
bridgestone firestone brasil,arlanxeo brasil,0
sas sports .,shenzhen fluent sports product,0
mitsuboshi belting phil corp,h.s .,0
anil .,fram greenville oh,0
lavergne plant bato,warren plant,0
j.s.p . enterprises,nakoda enterprises,0
argo fine imp .,afi .,0
trelleborg coated systems .,pegasystems,0
comercial motores,comercializadora simbs s rl,0
gap,kabat tyre spolka z ograniczona odpowiedzialnoscia,0
dsl logistics,time logistica eireli epp,0
saco,mg industria comercio,0
jci logistics,air partner logistics .,0
unities alliance group s.a.p.i . c.v .,wanxiang group,0
narmada polymers,sri venkateshwara polymers,0
ol usa,qingdao shanghai trade,0
ling zhen shanghai .,al bashir,0
s r,dongguang fenggang jia'an plastics hardware .,0
island global yachting,dw global,0
bank al habib . central,e s c.c .,0
isuzu motors india private .,k flex india private .,0
sumiriko brasil industria borr achas ltda,industrias bell power,0
albemarle corporation nyse alb,petrotekno,0
iviltra uab,rasco bitumentechnic gmbh,0
samskip logistics .,b,0
itc,bao'an district tang gang jie yong second factory,0
arlanxeo brasil,reliance brands,0
linea seguridad s.l .,klinge corporation,0
mediterranean textile,zahra textile,0
jus .,stabilo usa,0
super hoze pvt . .,tough rubber .,0
m.b,ollard westcombe 2000 .,0
american greetings corp .,n j .,0
malaya rub tech,play club s.a . c.v .,0
styrolution america,compounds systems production,0
azienda generale italiana petroli,soprema iberia s.l .,0
jiangsu general science technology,itc .,0
beijing jia qi rui jia .,awadh rubeya .,0
corporate affair,sas sports .,0
dynasol,polyone corporation nyse pol,0
zhongshan yilibao plastics rubber products .,industrial rubber products pvt . .,0
li fung service shanghai .,kildair service .,0
nokian tires,wakol,0
gti pvt . .,da feng .,0
hutchinson wuhan automobile rubber products .,intl forest products,0
con tech inetrnational,convertec s.a .,0
automax,saleh saeed baothman est .,0
d s,sardar shoes accessories,0
s.r .,john moffat prolock pty .,0
maniar corporation,shenzhen boyi supply chain management .,0
luohe tianlong chemical product .,medallion athletic products,0
dhawala enterprises,a.l .,0
al hathboor group l.l.c .,pf group s.a .,0
shanghai yikang chemicals .,hira,0
asa,puersheng plastics technology shenzhen .,0
cobalt holdings,valli zabban s.p.a .,0
ri time logistics corp .,c log,0
flexicare medical dongguan .,e care .,0
dipped products .,uniweld products,0
carlisle coatings wtrprfng,fac gb s.r.l .,0
stafford textiles .,organic textiles .com,0
shenzhen billion taishun imp . exp . .,millord river imp . exp . corp .,0
ashwa technologies .,tyco electronics tecnologias cv,0
yes logistics corp .,dc logistics,0
tiger logistics india . mumbai,tsm fondi s.a . c.v .,0
geleisihaimu plastic products dongguan .,asimco .,0
hanwha l&c shanghai .,d.s,0
shipco transport shanghai .,c.u . transport .,0
wind logistics,jh logistics .,0
opel fze,rfe .,0
lof .,time logistica eireli epp,0
jeety corporation,al salah general,0
trp .,hangzhou yokohama tire .,0
c.o.i.m . s.p.a . chimica organica industriale milanese,georg borner chemisches werk fur dach- und bautenschutz gmbh kg,0
uci .,proquimort imp . s s,0
sunami .,guangdong li tu .,0
speedways tyre .,w.a .,0
kyomex cv,monroe mexico cv,0
tecnocal componentes para,maria,0
zhejiang zhanghai imp . exp .,zafar imp . exp .,0
toll global forwarding canada .,w.a .,0
wenzhou mei yu trade .,ram,0
kleiberit,rusplast ooo lobanovo,0
bostik india private .,cbc india,0
apex shipping nyc .,mne shipping pty,0
chanda,hangang shanghai .,0
mti,innovative tyres tubes .,0
tess industria e comercio ltda,dsa,0
sgl graphics technology,itc .,0
p.e . mexico s. r.l . de.c.v .,snf floerger mexico cv,0
epic,crystal chemicals,0
d.s,pt bdp indonesia,0
shenzhen crystal technology .,crystal pack pvt .,0
grasim .,fragon produtos para industria borracha ltda,0
,reva enterprises,0
galaxy imp . exp .,k d imp . exp .,0
t.v.l . global logistics corp .,union logistics .,0
tynor orthotics private .,promatel,0
paul bauder gmbh co.kg achim plant,wrgrace,0
katepal oy,wrgrace canada .,0
rheem mexicali s rl cv,kia .,0
boc .,globus rubchem pvt . .,0
m.b,sol petroleum bahamas .,0
awash internation,servicios internacionales entrega rap,0
tuscor lloyds uk mexico cv,p.e . mexico s. r.l . de.c.v .,0
techno sports infra private .,decathlon sports india pvt . .,0
upl brasil industria e comercio,zandur,0
ashron freight services .,freight links pte,0
nri .,svg exp . private .,0
asos .com .,softer brasil compostos termoplasti,0
kerabitpro oy,ube kosan kabushiki - gaisha,0
ningbo silian feiyang imp.and exp.co . .,xiamen waitu imp . exp . .,0
bommer .,shenzhen sapac .,0
habib bank .,afi .,0
lotte advanced materials usa .,advanced resources .,0
trelleborg santana parnaiba ind comer solucoes,panova .,0
total bitumen gmbh,ooo khiminvest grupp,0
tress / s,krishna sports,0
osaka rubber pvt . .,micro rubber p .,0
shangdong yokohama rubber industrial products .,ab tech,0
usa .,suja shoei private .,0
eurybia logistics .,qingdao jiatu logistics .,0
psa corporation,prada fashion commerce shanghai .,0
acero tecnologia cv,china national aero technology imp . exp . corporation shanghai,0
baungarten industria e comercio ltda,adcrete pty .,0
s j rubber .,oriental rubber,0
rubber plastic .,kraft plast sas,0
miller tire services,tireco .,0
irinotecan european chemical shanghai .,sam,0
shanghai beisi plastics .,shanghai television electronics imp . exp . .,0
dsi,friendship transport .,0
repl w.l.l,paige shanghai .,0
thien tan .,mohsin traders,0
andaluza ligantes bituminosos y betunes en liquidacion,total france arnay le duc,0
quaker chemical india private .,pak petrochemical pvt . .,0
nimsetha sports pvt .,jsd sports pvt .,0
mirsa mfg .,pt . toyota motor mfg indonesia,0
arabian chemical,south asia textile lanka,0
nikita containers p. .,r.i.intl,0
pt bintang asahi textile industri,sakthi,0
toyota tsusho shanghai .,psa corporation,0
rasco bitumentechnic gmbh,khiminvest npf ooo,0
alpha adhesives sealants,dragon poland,0
dongguan meierbao toys .,,0
colas,iko sales,0
multiform chemicals pvt . .,multichem indus,0
dc audio,r.f.d / saudi arabia,0
tricab .,dichtomatik americas lp shakopee,0
agencia diaz vega,s,0
ravi,rubber industrial . dongguan rich,0
logistica y transporte jg c.a .,itc .,0
david emily imp . s.a .,island,0
indo copters private .,chennai elastomer plastics private .,0
manish agencies,teamplay enterprises c.c,0
indian overseas bank,meezan bank .,0
d. sadi,equipment contracting,0
rtp,hazrat amanat shah securi,0
nichireki    ,pirelli tair russiia,0
bright polymers,t.a . corporation pvt . .,0
km,sheikh muhammad corporation,0
encom .,automation components .,0
srb quimicos s.a . c.v .,s.r .,0
direct imp . exp . . shippi,hands pvt . .,0
idrees imp . exp .,impact .,0
guangzhou binder king .,guangzhou lianduo .,0
india style .,metso india private .,0
korlead .,chawla rubber plastic pvt,0
thermodyn corp .,guangzhou lvbeiyang leather products .,0
bmw mexico s.a . c.v .,teleflex automotive mexico cv,0
arlanxeo brasil s.a .,basf cenrtal asia llp,0
akzo nobel functional chemicals,noma chemicals,0
bd group .,sas d group,0
sundeep,eriks services lp,0
edumex cv,nishikawa cooper mexico cv,0
greensville transport,leschaco agente transportes e,0
genesis luxury fashion private .,cruman fast private .,0
tecnologia textil s.a .,ecco logica ltda,0
versalis americas .,hwaseung networks america corporation,0
ia s.a d cv,industrias veterinarias ch srl,0
indus rti,pt bina pertiwi,0
bata india .,team aviation india private .,0
associated ceat kelani radials private .,g.p . pvt .,0
cn logistics,lg chem(tianjin engineering plastics .,0
ningbo mengshen mattress machinery .,ramesh,0
klj polymers chemicals .,s,0
