name_1,name_2,is_duplicate
pirelli neumaticos cv .,pirelli neumaticos s.a.i.c .,1
bridgestone neumaticos,bridgestone firestone venezolana,1
bridgestone tire,bridgestone brasil industria e comenrcio ltda,1
mir .,bitumar,0
allbest marine supplies pte . .,taraki s.a.s,0
b p chemicals,shenzhen runbei chemical .,0
bridgestone(shenyang tire .,bridgestone tire,1
robertsonindustries .,ranyal pvt .,0
bridgestone(shenyang tire .,bridgestone huizhou tire .,1
dupont nutrition usa inc.c o ceva,dupont korea .,1
copernit s.p.a .,"ooo""kopernit k",1
honeywell aerospace mexico cv,mubea mexico s.de.r.l.de c.v .,0
sumitomo rubber usa,sumitomo rubber brasil ltda,1
fischer cv,beaver street fisheries .,0
pt bridgestone tire indonesia,bridgestone india automotive products private .,1
mane,janco handels gmb h,0
por,rubberfran comercio industria importacao e exportacao,0
simge - mat,simge mat madencilik asfalt ticaret ve sanayi anonim sirketi,1
bridgestone canada .,bridgestone india pvt . .,1
qingdao haier trade .,e s c.c .,0
shenyang bridgestone,bridgestone india pvt . .,1
coco paving .,soprema canada,0
basf chile s.a .,basf chile s,1
zeon shanghai .,zeon corporation,1
bridgestone india pvt . .,bridgestone firestone venezolana,1
bridgestone india automotive products private .,bridgestone tianjin tire .,1
bridgestone china research development .,bridgestone(shenyang tire .,1
plastcon lda,wei si kang precision plastics technology kunshan .,0
dorken gmbh . kg,"ooo""diorken",1
sika cambodia .,sika colombia s.a .,1
total ceska republika s.r.o .,total rumunia,1
procon engineering private .,idemitsu composite engineering plastics(guangzhou .,0
basf corp .,bdp basf imp .,1
asa,asbury graphite mills .,0
qingdao hongyongyi trade .,tag corporation,0
basf chile s.a .,bdp basf imp .,1
inter toys plastic electronic(dongguan .,everfront plastic electronics mfg . .,0
bdp basf imp .,basf,1
basf .,basf chile s.a .,1
hilti aktiengesellschaft,zao khilti distrib'iushn,1
gvs envicon technologies pvt . .,nri .,0
trans,marubeni transport service corp .,0
del corona scardigli usa,del corona scardigli mexico,1
american cashew,nri .,0
sri lakshmi associates,societe skl .,0
order commercial,order nonghyup bank,0
tess industria e comercio ltda,dsa,0
bridgestone firestone brasil,bridgestone firestone argentina saic,1
octene .,ocean marine s.a . c.v .,0
zhongshan caifeng sports products .,gps products .,0
hira enterprise,bhavik enterprise,0
accessori tessili speciali zamer et,qsr .,0
panorama produce sales,nasika products,0
jsr corporation,bst elastomers,1
maniar corporation,vanguard logistic group,0
posco daewoo america corp . toronto b,fc daewoo textile,1
soprema canada,soprema s.r.l .,1
eih .,milgram freight services,0
importarex s.a.s,kamers brasil importacao e exportacao ltda,0
afton chemical hyderabad pvt . .,afton chemical industria aditivos ltda,1
fns .,taka paint foshan .,0
g.p . pvt .,sti sanoh india private .,0
dow quimica mexicana cv,dow chemical,1
goter s.r.l .,goter thermoplastic compounds spa,1
por,dhaka transport .,0
mil .,pt bintang asahi textile industri,0
evonik cyro mobile,evonik cryo,1
cougal rubber corp .,agarwal rubber .,0
pam sp,parkway precision plastic mold shenzhen .,0
sika s.a . chile,sika china .,1
ncm .,csm sport entertainment,0
logistics manager,kaiping akei plastic machinery mould factory,0
ace ag,peng xuzhou construction machinery .,0
yokohama americas,industrias dante s.a . c.v .,0
cardinal srl,asphalt tar bitumen,0
bmw mexico s.a . c.v .,teleflex automotive mexico cv,0
far east spinning limitd,itc,0
lg polymer india pvt . .,excel polymer,0
bridgestone firestone venezolana c,bridgestone stargard sp zoo,1
sesa global imp . exp . fze,lucky imp . exp . s.a .,0
pavers foresight general ll,cisa,0
felix fama .,asa,0
soprema nv,soprema s.a.s .,1
marketing services .,gps global pallets services,0
pirelli tyre .,pirelli pneus ltda,1
bridgestone india,bridgestone neumaticos monterreysa cv,1
s r,d m sales marketing shanghai .,0
shanghai ranyuan chemical technology .,b p chemicals,0
aspa,aspa gmbh,1
synthomer uk .,synthomer . peachtree lenox bl bonded logistics 7320 statesville,1
versalis americas .,versalis pacific shanghai,1
arlanxeo brasil,arlanxeo group,1
mizuno(shanghai .,d s,0
k - flex usa,k - flex usa,1
stitchline,rizwan,0
basf japan .,basf corporation,1
ikea distributioin services,i.b .,0
dongguan cai sen chemical industry product .,lg chem .,0
"ooo""ozon giiim rsi","ooo""ozon giiim rsi",1
beijing zhenyu genesis auto parts .,bel .,0
m industria s.a c.v .,nanqin plastic industry shenzhen .,0
iko eu /all plants *,iko slovakia,1
k d imp . exp .,pam sp,0
kia .,rubber europe srl bagutta,0
warren plant bato bridgestone,thai bridgestone .,1
bridgestone mexico s.a . c.v .,bridgestone tire,1
android,pak petrochemical pvt,0
aipl marketing private .,sibaflor natural decorations private .,0
basf,basf india .,1
sika corporation,sika s a.,1
ilg,lu qing suzhou precision electronic material .,0
david jones private label,jain rubbers private .,0
bridgestone tire,bridgestone firestone venezolana c,1
kumho tire goergia .,kumho tire tianjin .,1
paul bauder gmbh kg,paul bauder gmbh co.kg achim plant,1
lulu saudi hypermarkets,audi ag,0
intl chemical,rahman .,0
mars .,bahama rock .,0
bridgestone tire,bridgestone india pvt . .,1
bridgestone huizhou tire .,bridgestone tire,1
xeltic s.a .,pan lojistik hizmetleri ve tic . .,0
bridgestone tire,bridgestone mexico s.a . c.v .,1
nexus america,oshitani america .,0
sumitomo rubber(hunan .,sumitomo rubber usa,1
plexus electronica s rl cv,inter toys plastic electronic(dongguan .,0
contitech mexicana cv,contitech transportbandsysteme gmb h,1
shenyang bridgestone,thai bridgestone .,1
eni jr286 . code 26 273374500,eni jr286 .,1
diesel fashion india reliance private .,reliance retail .,1
bridgestone neumaticos,bridgestone india,1
pirelli neumaticos,pirelli neumaticos,1
mandelli sp sole shareholder,madesal,0
shanghai michelin tire .,michelin tyre plc,1
bridgestone hosepower,bridgestone ncr,1
gray nicolls sports pty .,snt sports,0
bridgestone india,bridgestone india automotive products private .,1
bridgestone group,bridgestone costa rica sociedad anoni,1
miss india pvt . .,vf brands india pvt . .,0
nordenia,soprema sas,0
sika corporation,sika lanka pvt .,1
soprema polska sp . z o.o .,soprema oberrossbach,1
sika s a.,pt sika indonesia,1
pt bridgestone tire indonesia,bridgestone stargard sp zoo,1
shanghai medical technology . interesting,shanghai michelin tire .,0
american soccer .,american glass products india pvt . .,0
american biltrite canada .,m.b,0
socer brasil industria e comercio ltda,zandur,0
sumitomo rubber usa 10 sheridan,sumitomo rubber usa,1
hasco general,golden .,0
tecnofilm,tecnofilm spa,1
bridgestone tianjin tire .,bridgestone tire,1
rainco ltda,ama group,0
sumitomo rubber usa,sumitomo rubber usa,1
bridgestone firestone venezolana,bridgestone ncr,1
nexel distribuidora materiais para informatica ltda,nexen corporation,0
speed private .,oliveplanet private .,0
zeon medical .,zeon corporation tse:4205,1
selaki sports leisure,suzuki sports .,0
paul bauder gmbh kg landsberg plant,soprema gmbh,0
mcasphalt limited,varo energy,0
india liner,hae corp .,0
